"Name","ID","InjuriesPerTurtle","Date","CCLmin","CCLmax","BodyPart","InjuryType","InjuryStage","Nature","Source"
"Itchy ",1677,"0","6/23/2020",100.4,100,NA,NA,NA,"4",NA
"Scratchy ",1678,"0","6/23/2020",84.9,85.7,NA,NA,NA,"4",NA
"Ale",1688,"0","6/24/2020",102.3,102.6,NA,NA,NA,"4",NA
"Dew",1694,"1","6/24/2020",108.3,109.7,"CAR","LAC","Healed/Scar","2","Behavioral"
"Micayla ",1696,"0","6/26/2020",107.7,108,NA,NA,NA,"4",NA
"Arethra Franklin",1099,"0","6/25/2020",112.6,112.9,NA,NA,NA,"4",NA
"Tourmaline",1707,"0","6/28/2020",107.6,107,NA,NA,NA,"4",NA
"Collard",1712,"0","6/29/2020",96.3,96.6,NA,NA,NA,"4",NA
"Darrea",1717,"0","6/30/2020",115,113.6,NA,NA,NA,"4",NA
"Sapphine",1719,"0","6/30/2020",107.7,108.4,NA,NA,NA,"4",NA
"Lazy ",1731,"1","7/1/2020",101.7,102.2,"CAR","LAC","Healing(yellow)","2","Behavioral"
"Flo Rida",1748,"0","7/13/2020",103.4,103.9,NA,NA,NA,"4",NA
"Patrick ",1757,"0","7/14/2020",104.7,105,NA,NA,NA,"4",NA
"Parakeet ",1766,"0","7/15/2020",107.8,108.3,NA,NA,NA,"4",NA
"Ulna",1781,"1","7/29/2020",100,100.9,"CAR","DEP","Healed/Scar","3","Unknown"
"Shamrock ",1784,"1","7/30/2020",109,109,"CAR","LAC","Healing(yellow)","2","Behavioral"
"Ireland",1785,"1","7/30/2020",101.5,102,"CAR","LAC","Healing(yellow)","2","Behavioral"
"Fletch ",930,"1","7/30/2020",103.2,103.5,"CAR","LAC","Healing(yellow)","2","Behavioral"
"Ulrikke",1788,"1","8/5/2020",104.4,104.8,"MULTI","LAC","Healing(yellow)","2","Behavioral"
"Netta",1789,"0","8/5/2020",97.1,97.7,NA,NA,NA,"4",NA
"Aksel",1790,"0","8/5/2020",102,102,NA,NA,NA,"4",NA
"Fire Saga",1791,"0","8/5/2020",123,123.8,NA,NA,NA,"4",NA
"Conchita",1792,"0","8/5/2020",96.5,94.5,NA,NA,NA,"4",NA
"Lordi ",1793,"0","8/6/2020",97.7,98.4,NA,NA,NA,"4",NA
"Loreen ",1794,"0","8/6/2020",101.7,101.7,NA,NA,NA,"4",NA
"Emmelie",1795,"0","8/6/2020",103.6,103.6,NA,NA,NA,"4",NA
"Jamala",1796,"1","8/6/2020",106.7,107,"LFF","LAC","Healing","3","Unknown"
"Crayola ",1797,"1","8/4/2020",107.5,107.9,"CAR","LAC","Healed/Scar","2","Behavioral"
"Kipp",1798,"2","8/12/2020",105.1,105.1,"LRF","AMP","Healed/Scar","3","Unknown"
"Zecca",1799,"0","8/12/2020",93.4,93.5,NA,NA,NA,"4",NA
"Misty ",1800,"0","8/12/2020",96.5,97.6,NA,NA,NA,"4",NA
"Daisy ",1801,"0","8/13/2020",101,102,NA,NA,NA,"4",NA
"Papaya",1802,"0","8/13/2020",102.9,103.8,NA,NA,NA,"4",NA
"Cauliflower",1963,"0","5/27/2021",111.5,111.8,NA,NA,NA,"4",NA
"Green Bean",1965,"0","6/1/2021",110.3,110.6,NA,NA,NA,"4",NA
"Jackfruit",1966,"0","6/4/2021",117.9,117.9,NA,NA,NA,"4",NA
"Sandhat",1979,"1","6/21/2021",107.4,107.4,"CAR","CAR","Healed/Scar","2","Shark"
"Rorraine",1980,"0","6/21/2021",113.1,113.8,NA,NA,NA,"4",NA
"Napa",2001,"0","7/1/2021",101.5,101.7,NA,NA,NA,"4",NA
"Nigel",2025,"1","7/7/2021",94.5,95.4,"RRF","AMP","Healed/Scar","3","Unknown"
"Allen ",2028,"0","7/7/2021",103.3,104.2,NA,NA,NA,"4",NA
"Josie",2031,"0","7/8/2021",102,102.7,NA,NA,NA,"4",NA
"Corn",2034,"0","7/9/2021",116.2,116.5,NA,NA,NA,"4",NA
"Erin ",2035,"2","7/9/2021",106,105.2,"CAR","LAC","Healed/Scar","1","Boat"
"Jeff",2038,"1","7/9/2021",112.2,113.5,"RFF","FLP","Healed/Scar","3","Unknown"
"Butterhead",2039,"1","7/13/2021",NA,NA,"CAR","LAC","Healed/Scar","1","Boat"
"Moderna",2052,"0","7/14/2021",106.5,106.7,NA,NA,NA,"4",NA
"Vacutanier",2051,"0","7/15/2021",108.5,109,NA,NA,NA,"4",NA
"Charel",2057,"0","7/16/2021",94.4,95,NA,NA,NA,"4",NA
"Fin",2059,"0","7/17/2021",103,103.5,NA,NA,NA,"4",NA
"Grape",2063,"0","7/19/2021",90,90.2,NA,NA,NA,"4",NA
"Skeeter",2071,"0","7/20/2021",109,109.2,NA,NA,NA,"4",NA
"Savoy",2072,"0","7/21/2021",103.1,103.4,NA,NA,NA,"4",NA
"Dill",2073,"1","7/21/2021",107.5,108.5,"CAR","LAC","Healed/Scar","1","Boat"
"Jen ",2074,"0","7/21/2021",103.8,103.5,NA,NA,NA,"4",NA
"Mary ",2076,"1","7/22/2021",102,102.5,"LRF","FLP","Healed/Scar","3","Unknown"
"La",2077,"0","7/22/2021",101.8,102.4,NA,NA,NA,"4",NA
"Christina",721,"1","7/27/2021",110.4,110.7,"RRF","FLP","Healed/Scar","3","Unknown"
"Prik ",2083,"0","7/27/2021",104.5,105.4,NA,NA,NA,"4",NA
"Serrano",2084,"0","7/27/2021",103.6,103.8,NA,NA,NA,"4",NA
"Shishito",2086,"0","7/28/2021",106.3,106.3,NA,NA,NA,"4",NA
"Spruce",2092,"0","7/29/2021",110.7,110.8,NA,NA,NA,"4",NA
"Pine ",2094,"0","7/29/2021",111,111.2,NA,NA,NA,"4",NA
"Biles",2097,"0","8/3/2021",115,115.3,NA,NA,NA,"4",NA
"McCallum",2101,"3","8/3/2021",95.3,95.5,"RRF","AMP","Healed/Scar","3","Unknown"
"Slicer",790,"0","8/4/2021",99,99.1,NA,NA,NA,"4",NA
"Skinner",2098,"0","8/4/2021",96.4,96.8,NA,NA,NA,"4",NA
"Scallion",2105,"0","8/5/2021",106.3,106.5,NA,NA,NA,"4",NA
"Onion",2103,"0","8/5/2021",106.5,106.5,NA,NA,NA,"4",NA
"Rhubarb",2104,"0","8/5/2021",99.7,100,NA,NA,NA,"4",NA
"Garlic ",2107,"0","8/6/2021",102,102.5,NA,NA,NA,"4",NA
"Rona",2109,"0","8/10/2021",104.8,104.9,NA,NA,NA,"4",NA
"Jade",2110,"2","8/11/2021",102.5,107,"CAR","LAC","Healed/Scar","3","Unknown"
"Grace",2111,"0","8/11/2021",105.3,106,NA,NA,NA,"4",NA
"Rutabaga",2113,"0","8/12/2021",107.8,108,NA,NA,NA,"4",NA
"Byeee",2115,"0","8/12/2021",103.6,103.6,NA,NA,NA,"4",NA
"Elvis ",2185,"0","6/23/2022",103.6,104,NA,NA,NA,"4",NA
"DVM",2191,"0","6/25/2022",105.4,105.7,NA,NA,NA,"4",NA
"Irritant",2200,"0","6/29/2022",96.5,96.7,NA,NA,NA,"4",NA
"Trek",2207,"0","7/2/2022",98.8,99.3,NA,NA,NA,"4",NA
"Candy ",2212,"0","7/3/2022",96.5,96.2,NA,NA,NA,"4",NA
"Connie ",2213,"0","6/30/2022",94.7,95.2,NA,NA,NA,"4",NA
"Envy",2267,"0","7/7/2022",107.5,107.8,NA,NA,NA,"4",NA
"Erin ",2229,"0","7/9/2022",99.1,99.9,NA,NA,NA,"4",NA
"Stevie ",718,"0","7/13/2022",102,102.5,NA,NA,NA,"4",NA
"Vegetable ",2232,"2","7/13/2022",97.8,98.3,"CAR","CAR","Healed/Scar","2","Shark"
"Tea",2233,"0","7/14/2022",105.5,105.8,NA,NA,NA,"4",NA
"Ivy ",2236,"1","7/14/2022",103.2,103.2,"CAR","LAC","Healed/Scar","1","Boat"
"Bonana",2237,"0","7/14/2022",101.8,102.1,NA,NA,NA,"4",NA
"Nubbin ",2238,"1","7/14/2022",104.5,104.8,"RRF","AMP","Healed/Scar","2","Shark"
"Sandy ",2239,"0","7/15/2022",110.1,110.4,NA,NA,NA,"4",NA
"Guava",2240,"0","7/15/2022",109.6,110,NA,NA,NA,"4",NA
"Napoli ",2243,"0","7/16/2022",101.6,102,NA,NA,NA,"4",NA
"Andy ",2244,"0","7/16/2022",102.2,102.6,NA,NA,NA,"4",NA
