Name,ID,InjuriesPerTurtle,Date,CCL min (cm),CCL max (cm),Body Part ,Injury Type ,Injury Stage,Nature,Source
Jade,2110,2,8/11/21,102.5,107,CAR,LAC,Healed/scar,3,Unknown
Jade 2,,,,,,RRF,AMP,Healed/scar,1,FSH
Grace,2111,0,8/11/21,105.3,106,NA,NA,NA,4,NA
Rutabaga,2113,0,8/12/21,107.8,108,NA,NA,NA,4,NA
Byeee,2115,0,8/12/21,103.6,103.6,NA,NA,NA,4,NA
Elvis ,2185,0,6/23/22,103.6,104,NA,NA,NA,4,NA
DVM,2191,0,6/25/22,105.4,105.7,NA,NA,NA,4,NA
Irritant,2200,0,6/29/22,96.5,96.7,NA,NA,NA,4,NA
Trek,2207,0,7/2/22,98.8,99.3,NA,NA,NA,4,NA
Candy ,2212,0,7/3/22,96.5,96.2,NA,NA,NA,4,NA
Connie ,2213,0,6/30/22,94.7,95.2,NA,NA,NA,4,NA
Envy,2267,0,7/7/22,107.5,107.8,NA,NA,NA,4,NA
Erin ,2229,0,7/9/22,99.1,99.9,NA,NA,NA,4,NA
Stevie ,718,0,7/13/22,102,102.5,NA,NA,NA,4,NA
Vegetable ,2232,2,7/13/22,97.8,98.3,CAR,CAR,Healed/Scar,2,Shark
Vegetable 2,,,,,,Head,Head,Healing/yellow,2/3,Unknown
Tea,2233,0,7/14/22,105.5,105.8,NA,NA,NA,4,NA
Ivy ,2236,1,7/14/22,103.2,103.2,CAR,LAC,Healed/scar,1,Boat
Bonana,2237,0,7/14/22,101.8,102.1,NA,NA,NA,4,NA
Nubbin ,2238,1,7/14/22,104.5,104.8,RRF,AMP,Healed/scar,2,Shark
Sandy ,2239,0,7/15/22,110.1,110.4,NA,NA,NA,4,NA
Guava,2240,0,7/15/22,109.6,110,NA,NA,NA,4,NA
Napoli ,2243,0,7/16/22,101.6,102,NA,NA,NA,4,NA
Andy ,2244,0,7/16/22,102.2,102.6,NA,NA,NA,4,NA
Forest ,2248,0,7/18/22,94,94.1,NA,NA,NA,4,NA
Pirato,2249,1,7/18/22,116.8,116.9,LRF,AMP,Healed/scar,3,Unknown
Beret,2259,0,7/20/22,104.6,105.1,NA,NA,NA,4,NA
Cheryl ,1631,0,7/20/22,,,NA,NA,NA,4,NA
Gator ,2260,0,7/20/22,106.5,107.1,NA,NA,NA,4,NA
Croc,2261,0,7/20/22,108.8,108.9,NA,NA,NA,4,NA
Grecko,2262,0,7/21/22,104.5,104.8,NA,NA,NA,4,NA
Lizarol ,2263,1,7/21/22,116.9,117,LRF,FLP,Healed/scar,2,Shark
Parakeet,2264,0,7/21/22,98.2,99,NA,NA,NA,4,NA
Iguana,2266,0,7/25/22,105.1,105.7,NA,NA,NA,4,NA
Rosie ,2267,0,7/25/22,95,99,NA,NA,NA,4,NA
Mystery ,2272,0,7/27,110,110.2,NA,NA,NA,4,NA
Pine ,2268,0,7/27/22,103.2,103.3,NA,NA,NA,4,NA
Toad,2269,0,7/27/22,102,102.1,NA,NA,NA,4,NA
Peacock,2271,0,7/27/22,107.4,107.5,NA,NA,NA,4,NA
Jungle ,2273,1,7/27/22,108.5,109.2,MULTI,Unknown,NA,3,NA
Tiny ,2274,0,7/28/22,92,92.3,NA,NA,NA,4,NA
Beret,2259,0,7/29/22,,,NA,NA,NA,4,NA
Cactus,2275,0,7/28/22,103.1,103.4,NA,NA,NA,4,NA
Fern ,2276,0,7/28/22,99,100,NA,NA,NA,4,NA
Booger,2277,0,7/28/22,,,NA,NA,NA,4,NA
Leanna,2278,0,7/28/22,,,NA,NA,NA,4,NA
Kayballl,1104,0,8/4/22,102.9,103,NA,NA,NA,4,NA
Joan ,757,0,8/3/22,90.9,91.3,NA,NA,NA,4,NA
Cilantro ,1519,0,8/2/22,102.9,103.4,NA,NA,NA,4,NA
Lizard ,2263,0,8/2/22,117.3,117.9,NA,NA,NA,4,NA
Palm ,2285,1,8/3/22,104.9,105.1,LFF,FLP,Unknown ,3,Unknown
Monster,2286,0,8/3/22,104.1,104.6,NA,NA,NA,4,NA
Algae,2287,0,8/3/22,96.7,98.1,NA,NA,NA,4,NA
Goop,2288,0,8/3/22,110.3,111,NA,NA,NA,4,NA
Slime ,2289,0,8/3/22,108.4,108.5,NA,NA,NA,4,NA
Muriel,2290,0,8/3/22,104,104.2,NA,NA,NA,4,NA
Lantern,2291,0,8/4/22,100.5,101,NA,NA,NA,4,NA
Muriel (2),2290,0,,,,,,,,
